title,rating,issues,source
Seasons Change,3.73,"bass_energy, mid_energy",https://www.youtube.com/watch?v=kdEMzp9RDS0
Left Outside Alone,3.99,mid_energy,https://www.youtube.com/watch?v=KJwwhM-Wx58
Time,3.58,"lufs, mid_energy, clipping_ratio",https://www.youtube.com/watch?v=-aNs3hTMaCU
Sick and Tired,4.16,,https://www.youtube.com/watch?v=zc3NG898LGU
Heavy On My Heart,4.75,,https://www.youtube.com/watch?v=ogoGfFmMT0o
I Do,4.09,mid_energy,https://www.youtube.com/watch?v=-BFAFWm0shk
Welcome to My Truth,3.47,"rms, bass_energy, mid_energy",https://www.youtube.com/watch?v=UORHb-b3TzQ
Pretty Little Dum Dum,4.18,,https://www.youtube.com/watch?v=OgQFNuvIMhk
Sexy Single,3.65,"rms, mid_energy, high_energy",https://www.youtube.com/watch?v=mIOKSmBs_YM
Rearview,3.85,bass_energy,https://www.youtube.com/watch?v=kO5X0pLcYDA
Where Do I Belong,4.48,,https://www.youtube.com/watch?v=w-HyLUc8W-4
Maybe Today,4.49,,https://www.youtube.com/watch?v=d5BZlyyhuDI
