lufs,rms,crest_factor,bass_energy,mid_energy,high_energy,clipping_ratio,url
-10.05,0.311457,3.58,41.96997,9.879452,1.312136,0.000138,https://www.youtube.com/watch?v=Iox1We01Om8
-10.59,0.284958,4.26,43.796745,8.881474,1.523238,0.000175,https://www.youtube.com/watch?v=ZjBoRPVKIE0
-10.38,0.294966,3.73,42.133472,9.053146,1.436863,4.8e-05,https://www.youtube.com/watch?v=O5bKo5HI4I4
-11.83,0.225626,5.36,39.304237,5.786543,1.288866,0.000229,https://www.youtube.com/watch?v=0wKWSWHPHF0
-9.92,0.316462,3.57,52.01904,8.922988,1.603908,0.000107,https://www.youtube.com/watch?v=VSiFMhobdjA
-12.81,0.201014,5.35,31.482153,5.573673,1.165388,5e-06,https://www.youtube.com/watch?v=f-w05w3T53M
-12.54,0.212705,5.45,29.382183,6.195188,1.432106,9.1e-05,https://www.youtube.com/watch?v=HTX2QIWXQ90
-12.85,0.215266,4.98,34.891933,5.636472,0.80827,6e-06,https://www.youtube.com/watch?v=2MavKz4Uz_Y
-13.84,0.182877,6.06,27.82656,4.556638,1.172242,2.2e-05,https://www.youtube.com/watch?v=mtK5_xMx5wA
-14.11,0.194121,5.38,30.757273,5.433686,0.544627,0.0,https://www.youtube.com/watch?v=prMrhQI86Iw
-18.91,0.115032,4.21,20.788527,3.11573,0.376619,0.0,https://www.youtube.com/watch?v=dJVxoMvhRbY
-21.09,0.078569,7.4,8.001236,2.480878,0.125806,0.0,https://www.youtube.com/watch?v=qEcAj62VVec
-11.56,0.240152,4.42,41.407475,6.849908,0.831401,9e-06,https://www.youtube.com/watch?v=1yvO_NveO2I
-21.58,0.077459,5.21,14.115018,2.019206,0.219416,0.0,https://www.youtube.com/watch?v=RI8mQNFKPKo
-20.0,0.097192,4.42,14.101841,3.042527,0.552115,0.0,https://www.youtube.com/watch?v=HPX-b6ZQD0s
-13.02,0.214965,4.83,34.09164,6.72039,0.701386,2e-06,https://www.youtube.com/watch?v=QEaqpN_WuLs
-12.69,0.232302,4.71,38.834827,6.561578,0.746075,8e-06,https://www.youtube.com/watch?v=LeGdudq9vPA
-12.54,0.223583,4.85,35.37784,6.634594,1.28792,1.4e-05,https://www.youtube.com/watch?v=54Q_skZYrsM
-10.7,0.267127,4.24,40.706356,8.163948,1.198533,0.000149,https://www.youtube.com/watch?v=Yv2fGuPGqYI
-13.6,0.189733,4.61,23.297201,6.369119,0.73628,0.0,https://www.youtube.com/watch?v=7jRoZl2ONWM
-17.04,0.124317,6.58,10.533793,4.432058,0.672058,0.0,https://www.youtube.com/watch?v=QmhcdlvUIUY
-21.41,0.077794,7.56,11.397912,2.606817,0.374701,0.0,https://www.youtube.com/watch?v=I-uwouMzUB4
-12.7,0.229217,3.25,36.767273,6.680264,0.747765,0.0,https://www.youtube.com/watch?v=rd8ZFtD5rM8
-19.11,0.11073,4.49,22.502804,2.419463,0.212082,0.0,https://www.youtube.com/watch?v=hCBBfU61JEI
-21.65,0.082132,6.84,12.720596,2.609151,0.31358,0.0,https://www.youtube.com/watch?v=y1VfMUXpN3A
-17.5,0.13831,4.05,27.714699,3.600168,0.265661,0.0,https://www.youtube.com/watch?v=sdf152L-D3g
-11.64,0.243238,4.37,35.601196,7.209364,0.736961,4e-06,https://www.youtube.com/watch?v=MIY-nR5cAUA
-12.83,0.199372,5.27,21.21192,6.08032,0.617005,1e-06,https://www.youtube.com/watch?v=Qe7LR71TOOI
-15.33,0.140551,7.13,14.960411,4.729759,0.69498,0.0,https://www.youtube.com/watch?v=rCxLx_3T5GE
-12.78,0.200212,4.91,25.794996,6.745077,0.907132,0.0,https://www.youtube.com/watch?v=HUGuH7NPb4g
-16.69,0.133859,7.43,19.956867,4.008642,0.901314,0.0,https://www.youtube.com/watch?v=f17jGIJoZ0E
-12.3,0.224471,4.39,23.845486,7.8695,1.065307,0.0,https://www.youtube.com/watch?v=hEtSAOkjKVI
-23.05,0.062331,5.28,8.275568,1.875087,0.222812,0.0,https://www.youtube.com/watch?v=yR_9e1yo9uU
-27.11,0.040109,7.17,6.786578,1.142631,0.154368,0.0,https://www.youtube.com/watch?v=C9BTPLG2QEE
-17.69,0.135859,5.75,28.483421,2.472642,0.290246,0.0,https://www.youtube.com/watch?v=GxQjx7FkmNA
-22.49,0.074078,4.47,9.602273,1.695245,0.306384,0.0,https://www.youtube.com/watch?v=tZs4eDy9JY8
-17.34,0.120373,7.04,14.588667,3.096325,0.243731,0.0,https://www.youtube.com/watch?v=HSpeF-Bu26E
-16.92,0.136621,7.91,25.896841,2.690637,0.441523,3e-06,https://www.youtube.com/watch?v=iGrsvZWY3sQ
-11.71,0.243972,4.72,37.79195,7.175496,1.07143,2.4e-05,https://www.youtube.com/watch?v=pS5-ZddzeoU
-12.29,0.246904,4.28,46.688885,6.290016,0.752073,5e-06,https://www.youtube.com/watch?v=J9PN6NdjBPo
-9.11,0.311643,3.91,52.483414,8.824911,1.517948,0.002352,https://www.youtube.com/watch?v=OEfSxpg4YoE
-14.79,0.165064,5.17,25.05136,4.82819,0.778428,0.0,https://www.youtube.com/watch?v=15bvHHXOFBI
-23.59,0.062034,5.43,9.880075,1.580562,0.333981,0.0,https://www.youtube.com/watch?v=B8Lsl1MefbA
